Part	Value	Attributes	Package	Description	Part Number	Mfg Name	VID	Vendor Part Num	Description	Pkg Code	Customer Ref	Library	Footprint	Status	XREF
BATT1	BK-883-TR		BK-883-TR		BK-883-TR	*	*	*	*	*	*	*	*	*	*
C1	10u		0805[2012]		CL21A106KQCLRNC	*	*	*	*	*	*	*	*	*	*
C2	0.1u		0603[1608]		CL10B104KB8NNNC	*	*	*	*	*	*	*	*	*	*
C3	0.1u		0603[1608]		CL10B104KB8NNNC	*	*	*	*	*	*	*	*	*	*
C4	10u		0805[2012]		CL21A106KQCLRNC	*	*	*	*	*	*	*	*	*	*
C5	0.1u		0603[1608]		CL10B104KB8NNNC	*	*	*	*	*	*	*	*	*	*
C6	0.1u		0603[1608]		CL10B104KB8NNNC	*	*	*	*	*	*	*	*	*	*
CN1	HEADER4X1_2MM_SMD		HEADER4X1_2MM_SMD		2PH1-04-UA-SMT-B	*	*	*	*	*	*	*	*	*	*
CN2	TR1-01		MAROGNATA		TR1-01	*	*	*	*	*	*	*	*	*	*
LED1	RED		1206[3216]BOTTOM_ENTRY		LTST-C230KRKT	*	*	*	*	*	*	*	*	*	*
LED2	RED		1206[3216]BOTTOM_ENTRY		LTST-C230KRKT	*	*	*	*	*	*	*	*	*	*
LED3	RED		1206[3216]BOTTOM_ENTRY		LTST-C230KRKT	*	*	*	*	*	*	*	*	*	*
LED4	RED		1206[3216]BOTTOM_ENTRY		LTST-C230KRKT	*	*	*	*	*	*	*	*	*	*
LED5	RED		1206[3216]BOTTOM_ENTRY		LTST-C230KRKT	*	*	*	*	*	*	*	*	*	*
LED6	RED		1206[3216]BOTTOM_ENTRY		LTST-C230KRKT	*	*	*	*	*	*	*	*	*	*
LED7	RED		1206[3216]BOTTOM_ENTRY		LTST-C230KRKT	*	*	*	*	*	*	*	*	*	*
LED8	RED		1206[3216]BOTTOM_ENTRY		LTST-C230KRKT	*	*	*	*	*	*	*	*	*	*
LED9	RED		1206[3216]BOTTOM_ENTRY		LTST-C230KRKT	*	*	*	*	*	*	*	*	*	*
LED10	RED		1206[3216]BOTTOM_ENTRY		LTST-C230KRKT	*	*	*	*	*	*	*	*	*	*
LED11	RED		1206[3216]BOTTOM_ENTRY		LTST-C230KRKT	*	*	*	*	*	*	*	*	*	*
LED12	RED		1206[3216]BOTTOM_ENTRY		LTST-C230KRKT	*	*	*	*	*	*	*	*	*	*
LED13	RED		1206[3216]BOTTOM_ENTRY		LTST-C230KRKT	*	*	*	*	*	*	*	*	*	*
LED14	RED		1206[3216]BOTTOM_ENTRY		LTST-C230KRKT	*	*	*	*	*	*	*	*	*	*
LED15	RED		1206[3216]BOTTOM_ENTRY		LTST-C230KRKT	*	*	*	*	*	*	*	*	*	*
LED16	RED		1206[3216]BOTTOM_ENTRY		LTST-C230KRKT	*	*	*	*	*	*	*	*	*	*
LED17	RED		1206[3216]BOTTOM_ENTRY		LTST-C230KRKT	*	*	*	*	*	*	*	*	*	*
LED18	RED		1206[3216]BOTTOM_ENTRY		LTST-C230KRKT	*	*	*	*	*	*	*	*	*	*
LED19	RED		1206[3216]BOTTOM_ENTRY		LTST-C230KRKT	*	*	*	*	*	*	*	*	*	*
LED20	RED		1206[3216]BOTTOM_ENTRY		LTST-C230KRKT	*	*	*	*	*	*	*	*	*	*
LED21	RED		1206[3216]BOTTOM_ENTRY		LTST-C230KRKT	*	*	*	*	*	*	*	*	*	*
LED22	RED		1206[3216]BOTTOM_ENTRY		LTST-C230KRKT	*	*	*	*	*	*	*	*	*	*
LED23	RED		1206[3216]BOTTOM_ENTRY		LTST-C230KRKT	*	*	*	*	*	*	*	*	*	*
LED24	RED		1206[3216]BOTTOM_ENTRY		LTST-C230KRKT	*	*	*	*	*	*	*	*	*	*
LED25	RED		1206[3216]BOTTOM_ENTRY		LTST-C230KRKT	*	*	*	*	*	*	*	*	*	*
LED26	RED		1206[3216]BOTTOM_ENTRY		LTST-C230KRKT	*	*	*	*	*	*	*	*	*	*
LED27	RED		1206[3216]BOTTOM_ENTRY		LTST-C230KRKT	*	*	*	*	*	*	*	*	*	*
LED28	RED		1206[3216]BOTTOM_ENTRY		LTST-C230KRKT	*	*	*	*	*	*	*	*	*	*
